,date,weight,calories_actual,protein_actual,carbs_actual,fat_actual,calories_goal,protein_goal,carbs_goal,fat_goal,calories_burnt,calories_deficit,weight_delta,calories_delta,protein_delta,carbs_delta,fat_delta
0,09/27/21,251.5,3103,332,23,111,2752,275,172,107,2406,697,,-351,-57,149,-4
1,09/28/21,253.6,2348,266,198,74,2752,275,172,107,2812,-464,2.1,404,9,-26,33
2,09/28/21,253.6,2348,266,198,74,2752,275,172,107,2827,-479,0,404,9,-26,33
3,09/29/21,250.8,2533,310,176,81,2752,275,172,107,2604,-71,-2.8,219,-35,-4,26
4,09/30/21,252,2523,264,202,91,2752,275,172,107,2891,-368,1.2,229,11,-30,16
5,10/01/21,250.5,2523,264,202,91,2752,275,172,107,2928,-405,-1.5,229,11,-30,16
6,10/02/21,251,2532,73,223,151,2752,275,172,107,2700,-168,0.5,220,202,-51,-44
7,10/03/21,249.6,2866,103,156,144,2753,275,172,107,3075,-209,-1.4,113,-173,-17,36
