date, bicep_r,bicep_l,forearm_r,forearm_l,calf_r,calf_l,thigh_r,thigh_l, neck, shoulders,chest, waist, navy_bodyfat, glutes
10/02/21,17.5,17.5,12.5,12.5,17.75,17.5,27.5,27.75,16.75,53,46,43.5,.2146,45
10/02/21,17.5,17.5,12.5,12.5,17.75,27.5,27.75,16.75,16.75,53.0,46.0,43.5,0.21464981929846658,45.0
10/02/21,17.5,17.5,12.5,12.5,17.75,17.5,27.5,27.75,16.75,53.0,46.0,43.5,0.21464981929846658,45.0
10/02/21,17.5,17.5,12.5,12.5,17.75,17.0,27.75,27.5,16.75,53.0,46.0,43.5,0.21464981929846658,45.0
10/02/21,17.5,17.5,12.5,12.5,17.75,17.5,27.5,27.75,16.75,56.0,46.0,43.5,0.21464981929846658,45.0
